species,APC_name,NT,Qld,WA,ChI,NSW,SA,Vic,Tas,ACT,NI,LHI,MI,HI,MDI,CoI,CSI,AR,CaI,family
Dicrastylis nicholasii F.Muell.,Dicrastylis nicholasii,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Lamiaceae
Dicrastylis obovata Munir,Dicrastylis obovata,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Lamiaceae
Dicrastylis subterminalis Rye,Dicrastylis subterminalis,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Lamiaceae
Dicrastylis velutina Munir,Dicrastylis velutina,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Lamiaceae
Faradaya amicorum (Seem.) Seem.,Faradaya amicorum,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Lamiaceae
Glossocarya coriacea Munir,Glossocarya coriacea,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Lamiaceae
Gmelina australis de Kok,Gmelina australis,native,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Lamiaceae
Gmelina hollrungii de Kok,Gmelina hollrungii,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Lamiaceae
Gmelina schlechteri H.J.Lam,Gmelina schlechteri,native,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Lamiaceae
Hemigenia appressa G.R.Guerin,Hemigenia appressa,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Lamiaceae
Hemigenia argentea Bartl.,Hemigenia argentea,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Lamiaceae
Hemigenia barbata Bartl.,Hemigenia barbata,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Lamiaceae
Hemigenia benthamii G.R.Guerin,Hemigenia benthamii,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Lamiaceae
